idx         -e        time(s)           relative         enabled geometry description                                              
175    t103,20         0.0081             0.5442         EXCL: solidXJfixture GLw1.up08_up09_FlangeI_Web_FlangeII                  
176    t103,25         0.0081             0.5449         EXCL: solidXJfixture GLw1.up03_up04_FlangeI_Web_FlangeII                  
177    t103,61         0.0081             0.5450         EXCL: solidXJfixture GLb3.bt10_FlangeI_Web_FlangeII                       
178    t103,62         0.0081             0.5451         EXCL: solidXJfixture GLb3.bt11_FlangeI_Web_FlangeII                       
179    t103,65         0.0081             0.5454         EXCL: solidXJfixture GZ1.A03_04_FlangeI_Web_FlangeII                      
180    t103,49         0.0081             0.5455         EXCL: solidXJfixture GLb1.up02_FlangeI_Web_FlangeII                       
181    t103,72         0.0081             0.5475         EXCL: solidXJfixture GZ1.B04_05_FlangeI_Web_FlangeII                      
182   t103,132         0.0081             0.5480         EXCL: solidXJfixture sChimneySteel                                        
183    t103,36         0.0082             0.5496         EXCL: solidXJfixture GLw1.bt07_bt08_FlangeI_Web_FlangeII                  
184   t103,102         0.0082             0.5523         EXCL: solidXJfixture solidXJanchor                                        
185     t103,9         0.0082             0.5533         EXCL: solidXJfixture sBar                                                 
186    t103,68         0.0085             0.5702         EXCL: solidXJfixture GZ1.A06_07_FlangeI_Web_FlangeII                      
187   t103,142         0.0085             0.5753         EXCL: solidXJfixture sOuterWaterPool                                      
188   t103,135         0.0086             0.5755         EXCL: solidXJfixture sReflectorInCD                                       
189    t103,76         0.0086             0.5811         EXCL: solidXJfixture ZC2.A03_B03_FlangeI_Web_FlangeII                     
190   t103,133         0.0086             0.5817         EXCL: solidXJfixture sWaterTube                                           
191    t103,57         0.0086             0.5821         EXCL: solidXJfixture GLb1.bt06_FlangeI_Web_FlangeII                       
192    t103,47         0.0087             0.5887         EXCL: solidXJfixture GLb1.up04_FlangeI_Web_FlangeII                       
193    t103,94         0.0088             0.5898         EXCL: solidXJfixture sTarget                                              
194     t103,0         0.0088             0.5914         EXCL: solidXJfixture sTopRock_domeAir                                     
195   t103,117         0.0089             0.5959         EXCL: solidXJfixture NNVTMCPPMTTail                                       
196    t103,16         0.0089             0.5989         EXCL: solidXJfixture sExpRockBox                                          
197    t103,88         0.0089             0.5993         EXCL: solidXJfixture ZC2.A03_A03_FlangeI_Web_FlangeII                     
198    t103,11         0.0089             0.6013         EXCL: solidXJfixture sPanel                                               
199    t103,13         0.0089             0.6015         EXCL: solidXJfixture sWall                                                
200   t103,144         0.0089             0.6018         EXCL: solidXJfixture sBottomRock                                          
201   t103,114         0.0090             0.6026         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_pmt_solid_1_4             
202    t103,64         0.0090             0.6026         EXCL: solidXJfixture GZ1.A02_03_FlangeI_Web_FlangeII                      
203    t103,74         0.0090             0.6027         EXCL: solidXJfixture GZ1.B06_07_FlangeI_Web_FlangeII                      
204    t103,37         0.0090             0.6032         EXCL: solidXJfixture GLw1.bt08_bt09_FlangeI_Web_FlangeII                  
205   t103,127         0.0090             0.6033         EXCL: solidXJfixture PMT_3inch_body_solid_ell_ell_helper                  
206    t103,97         0.0090             0.6035         EXCL: solidXJfixture sStrut                                               
207    t103,86         0.0090             0.6042         EXCL: solidXJfixture ZC2.B03_B03_FlangeI_Web_FlangeII                     
208   t103,129         0.0090             0.6042         EXCL: solidXJfixture PMT_3inch_pmt_solid                                  
209   t103,137         0.0090             0.6044         EXCL: solidXJfixture PMT_20inch_veto_inner1_solid                         
210    t103,79         0.0090             0.6044         EXCL: solidXJfixture ZC2.A06_B06_FlangeI_Web_FlangeII                     
211   t103,115         0.0090             0.6046         EXCL: solidXJfixture HamamatsuR12860sMask_virtual                         
212     t103,2         0.0090             0.6047         EXCL: solidXJfixture sDomeRockBox                                         
213   t103,106         0.0090             0.6047         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_plate_solid               
214    t103,54         0.0090             0.6048         EXCL: solidXJfixture GLb2.bt03_FlangeI_Web_FlangeII                       
215   t103,113         0.0090             0.6050         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_inner_solid_1_4           
216    t103,80         0.0090             0.6050         EXCL: solidXJfixture ZC2.A02_B03_FlangeI_Web_FlangeII                     
217    t103,33         0.0090             0.6051         EXCL: solidXJfixture GLw2.bt04_bt05_FlangeI_Web_FlangeII                  
218    t103,92         0.0090             0.6055         EXCL: solidXJfixture solidSJReceiver                                      
219   t103,125         0.0090             0.6060         EXCL: solidXJfixture PMT_3inch_inner1_solid_ell_helper                    
220    t103,78         0.0090             0.6060         EXCL: solidXJfixture ZC2.A05_B05_FlangeI_Web_FlangeII                     
221    t103,39         0.0090             0.6063         EXCL: solidXJfixture GLw1.bt10_bt11_FlangeI_Web_FlangeII                  
222    t103,15         0.0090             0.6066         EXCL: solidXJfixture sExpHall                                             
223    t103,59         0.0090             0.6067         EXCL: solidXJfixture GLb1.bt08_FlangeI_Web_FlangeII                       
224   t103,136         0.0090             0.6069         EXCL: solidXJfixture mask_PMT_20inch_vetosMask                            
225   t103,128         0.0090             0.6071         EXCL: solidXJfixture PMT_3inch_cntr_solid                                 
226    t103,28         0.0090             0.6071         EXCL: solidXJfixture GLw2.equ_up01_FlangeI_Web_FlangeII                   
227     t103,5         0.0090             0.6071         EXCL: solidXJfixture Upper_Steel_tube                                     
228   t103,139         0.0090             0.6073         EXCL: solidXJfixture PMT_20inch_veto_body_solid_1_2                       
229   t103,119         0.0090             0.6073         EXCL: solidXJfixture NNVTMCPPMT_PMT_20inch_plate_solid                    
230    t103,56         0.0090             0.6077         EXCL: solidXJfixture GLb1.bt05_FlangeI_Web_FlangeII                       
231    t103,53         0.0090             0.6077         EXCL: solidXJfixture GLb1.bt02_FlangeI_Web_FlangeII                       
232    t103,38         0.0090             0.6078         EXCL: solidXJfixture GLw1.bt09_bt10_FlangeI_Web_FlangeII                  
233    t103,30         0.0090             0.6080         EXCL: solidXJfixture GLw3.bt01_bt02_FlangeI_Web_FlangeII                  
234    t103,69         0.0090             0.6083         EXCL: solidXJfixture GZ1.B01_02_FlangeI_Web_FlangeII                      
235    t103,44         0.0090             0.6088         EXCL: solidXJfixture GLb2.up07_FlangeI_Web_FlangeII                       
236     t103,7         0.0090             0.6089         EXCL: solidXJfixture Upper_Chimney                                        
237    t103,31         0.0090             0.6089         EXCL: solidXJfixture GLw3.bt02_bt03_FlangeI_Web_FlangeII                  
238    t103,23         0.0090             0.6090         EXCL: solidXJfixture GLw1.up05_up06_FlangeI_Web_FlangeII                  
239   t103,124         0.0090             0.6090         EXCL: solidXJfixture NNVTMCPPMTsMask_virtual                              
240    t103,55         0.0091             0.6094         EXCL: solidXJfixture GLb2.bt04_FlangeI_Web_FlangeII                       
241    t103,90         0.0091             0.6095         EXCL: solidXJfixture solidSJCLSanchor                                     
242    t103,66         0.0091             0.6095         EXCL: solidXJfixture GZ1.A04_05_FlangeI_Web_FlangeII                      
243   t103,118         0.0091             0.6096         EXCL: solidXJfixture NNVTMCPPMT_PMT_20inch_edge_solid                     
